DATE,OPEN,HIGH,LOW,CLOSE,Year,Month,Quarter,DayOfWeek,MonthName,MA_30,MA_252,MA_90,Daily_Change,Pct_Change,Volatility_Regime
1990-01-02,17.24,17.24,17.24,17.24,1990,1,1,1,January,,,,,,Normal
1990-01-03,18.19,18.19,18.19,18.19,1990,1,1,2,January,,,,0.9500000000000028,5.510440835266839,Normal
1990-01-04,19.22,19.22,19.22,19.22,1990,1,1,3,January,,,,1.0299999999999976,5.662451896646492,Normal
1990-01-05,20.11,20.11,20.11,20.11,1990,1,1,4,January,,,,0.8900000000000006,4.630593132154015,Normal
1990-01-08,20.26,20.26,20.26,20.26,1990,1,1,0,January,,,,0.15000000000000213,0.7458975634013099,Normal
1990-01-09,22.2,22.2,22.2,22.2,1990,1,1,1,January,,,,1.9399999999999977,9.575518262586357,Normal
1990-01-10,22.44,22.44,22.44,22.44,1990,1,1,2,January,,,,0.240000000000002,1.0810810810810922,Normal
1990-01-11,20.05,20.05,20.05,20.05,1990,1,1,3,January,,,,-2.3900000000000006,-10.650623885918009,Normal
1990-01-12,24.64,24.64,24.64,24.64,1990,1,1,4,January,,,,4.59,22.892768079800497,Normal
1990-01-15,26.34,26.34,26.34,26.34,1990,1,1,0,January,,,,1.6999999999999993,6.899350649350655,High
1990-01-16,24.18,24.18,24.18,24.18,1990,1,1,1,January,,,,-2.16,-8.200455580865606,Normal
1990-01-17,24.16,24.16,24.16,24.16,1990,1,1,2,January,,,,-0.019999999999999574,-0.08271298593879317,Normal
1990-01-18,24.34,24.34,24.34,24.34,1990,1,1,3,January,,,,0.17999999999999972,0.7450331125827825,Normal
1990-01-19,22.5,22.5,22.5,22.5,1990,1,1,4,January,,,,-1.8399999999999999,-7.559572719802798,Normal
1990-01-22,26.7,26.7,26.7,26.7,1990,1,1,0,January,,,,4.199999999999999,18.666666666666654,High
1990-01-23,24.72,24.72,24.72,24.72,1990,1,1,1,January,,,,-1.9800000000000004,-7.415730337078652,Normal
1990-01-24,25.39,25.39,25.39,25.39,1990,1,1,2,January,,,,0.6700000000000017,2.7103559870550242,High
1990-01-25,25.63,25.63,25.63,25.63,1990,1,1,3,January,,,,0.23999999999999844,0.945254037022436,High
1990-01-26,26.28,26.28,26.28,26.28,1990,1,1,4,January,,,,0.6500000000000021,2.5360905189231397,High
1990-01-29,26.44,26.44,26.44,26.44,1990,1,1,0,January,,,,0.16000000000000014,0.60882800608828,High
1990-01-30,27.25,27.25,27.25,27.25,1990,1,1,1,January,,,,0.8099999999999987,3.0635400907715438,High
1990-01-31,25.36,25.36,25.36,25.36,1990,1,1,2,January,,,,-1.8900000000000006,-6.935779816513765,High
1990-02-01,24.87,24.87,24.87,24.87,1990,2,1,3,February,,,,-0.48999999999999844,-1.9321766561514186,Normal
1990-02-02,24.32,24.32,24.32,24.32,1990,2,1,4,February,,,,-0.5500000000000007,-2.2114997989545637,Normal
